Device;Name;Comment;Status;T/C;Set;Value;Present;Value;(16;bits);Present;Value;(32;bits);Floating;Point;Format;T/C;Set;Value;Reference
D200;;;false;;K0;K0;F0.000;Signed;Decimal;;;;;;;;;;;;
D205;;;false;;K1710;K327681710;F0.000;Signed;Decimal;;;;;;;;;;;;
M26;;;false;;;;;;;;;;;;;;;;;;
M12;;;false;;;;;;;;;;;;;;;;;;
D500;SLOT;1;false;;K1710;K164497070;F0.000;Signed;Decimal;;;;;;;;;;;;
D501;SLOT;2;false;;K2510;K216926670;F0.000;Signed;Decimal;;;;;;;;;;;;
D502;SLOT;3;false;;K3310;K269356270;F0.000;Signed;Decimal;;;;;;;;;;;;
D503;SLOT;4;false;;K4110;K321785870;F0.000;Signed;Decimal;;;;;;;;;;;;
D504;SLOT;5;false;;K4910;K374215470;F0.000;Signed;Decimal;;;;;;;;;;;;
D505;SLOT;6;false;;K5710;K426448462;F0.000;Signed;Decimal;;;;;;;;;;;;
D506;SLOT;7;false;;K6507;K478746987;F0.000;Signed;Decimal;;;;;;;;;;;;
D507;SLOT;8;false;;K7305;K531176585;F0.000;Signed;Decimal;;;;;;;;;;;;
D508;SLOT;9;false;;K8105;K583802793;F0.000;Signed;Decimal;;;;;;;;;;;;
D509;SLOT;10;false;;K8908;K7217868;F0.000;Signed;Decimal;;;;;;;;;;;;
D510;;;false;;K110;K59637870;F0.000;Signed;Decimal;;;;;;;;;;;;
D511;;;false;;K910;K0;F0.000;Signed;Decimal;;;;;;;;;;;;
M33;;;false;;;;;;;;;;;;;;;;;;
M28;MAG;PUSH;false;;;;;;;;;;;;;;;;;;
;;;false;;;;;;;;;;;;;;;;;;
